http://youtu.be/FEWNJXuolwE	Type October 31 into the Depart Date box.
http://youtu.be/FEWNJXuolwE	"Click on the departure box and type in ""October 31""."
http://youtu.be/FEWNJXuolwE	Click the Depart date field and type October 31.
http://youtu.be/FEWNJXuolwE	"Click in the ""Date"" textbox, and type the date."
http://youtu.be/FEWNJXuolwE	Enter in October 31 as the depart date
http://youtu.be/o42CycrCGos	Type New York into the From field
http://youtu.be/o42CycrCGos	"Type ""New York"" in the box under ""From""."
http://youtu.be/o42CycrCGos	"Click inside the ""From"" textbox, and type the city you're flying from."
http://youtu.be/o42CycrCGos	In the from field type in New York
http://youtu.be/o42CycrCGos	Type New York into the From box.
http://youtu.be/jVOfY2q4RtU	Type November 7 in the Return textbox.
http://youtu.be/jVOfY2q4RtU	"Click on the box under ""Return"" and enter ""November 7""."
http://youtu.be/jVOfY2q4RtU	Type November 7 into the return date field
http://youtu.be/jVOfY2q4RtU	Type November 7 into the Return date field.
http://youtu.be/jVOfY2q4RtU	Type November 7 into the Return Date box.
http://youtu.be/po2ImWzB8P4	Click the To field and type in San Francisco
http://youtu.be/po2ImWzB8P4	Type San Francisco into the To box.
http://youtu.be/po2ImWzB8P4	Type San Francisco in the To textbox.
http://youtu.be/po2ImWzB8P4	Type in San Francisco into the To field
http://youtu.be/po2ImWzB8P4	"Type ""San Francisco"" in the box under ""To""."
http://youtu.be/lKh6tcdEMDU	Click the Select Log button.
http://youtu.be/lKh6tcdEMDU	Click the flight of your choice, then click Select Leg
http://youtu.be/lKh6tcdEMDU	Click the Select Leg button
http://youtu.be/lKh6tcdEMDU	"Click the orange button ""Select Leg"" to book your flight."
http://youtu.be/lKh6tcdEMDU	Click Select Leg on the first $89 Virgin America flight
http://youtu.be/8KlHyqVfUx0	Click the Select Leg button.
http://youtu.be/8KlHyqVfUx0	"Click the ""Select Log"" button."
http://youtu.be/8KlHyqVfUx0	Mouse over flight, then click Select Leg
http://youtu.be/8KlHyqVfUx0	Click Select Leg for the $198 United flight
http://youtu.be/8KlHyqVfUx0	Press the orange button that is in the same row as the flight you are interested in.
http://youtu.be/zW9FbC_EdZE	"Click ""Select Log"""
http://youtu.be/zW9FbC_EdZE	"Click the ""Select Leg"" button"
http://youtu.be/zW9FbC_EdZE	Click on Select Leg
http://youtu.be/zW9FbC_EdZE	Click Select Leg for the $409 Delta flight
http://youtu.be/zW9FbC_EdZE	"Press the orange button ""Select Leg"" to bring up a screen where you can book your flight."
http://youtu.be/SnPcvtxbAWk	"Click the ""Book"" button"
http://youtu.be/SnPcvtxbAWk	Click the Book button next to Priceline
http://youtu.be/SnPcvtxbAWk	"Select the orange button ""Book"" to book your flight."
http://youtu.be/SnPcvtxbAWk	"Click the ""Book"" button."
http://youtu.be/SnPcvtxbAWk	Click the Book link of your choice
http://youtu.be/LFzZuTgBrOU	Click the Book link
http://youtu.be/LFzZuTgBrOU	"Click on the orange ""Book"" button."
http://youtu.be/LFzZuTgBrOU	Click the orange Book button
http://youtu.be/LFzZuTgBrOU	Click the Book button.
http://youtu.be/LFzZuTgBrOU	Click on Book
http://youtu.be/sR8_kqHAawU	click the orange button book
http://youtu.be/sR8_kqHAawU	Click on the orange Book button
http://youtu.be/sR8_kqHAawU	Click on 'Book.'
http://youtu.be/sR8_kqHAawU	"Click on the orange ""Book"" button."
http://youtu.be/sR8_kqHAawU	"Click the ""Book"" button."
http://youtu.be/FEWNJXuolwE	Type October 31 into the Depart Date box.
http://youtu.be/FEWNJXuolwE	Type October 31 into the depart field.
http://youtu.be/o42CycrCGos	Type New York into the From field.
http://youtu.be/o42CycrCGos	Type New York into the From box.
http://youtu.be/jVOfY2q4RtU	Type November 7 into the Return Date box.
http://youtu.be/jVOfY2q4RtU	Type November 7 into date field.
http://youtu.be/po2ImWzB8P4	Type San Francisco into the To box.
http://youtu.be/po2ImWzB8P4	Type San Francisco into the To field.
